incident_id,created_date,system_affected,priority,status,root_cause,resolution_hours,sla_breached
INC-3025,2026-02-12,WiFi - Hotels,Medium,Resolved,Network Connectivity,5.85,False
INC-3026,2026-01-03,POS - Food & Beverage,Medium,Open,Configuration Error,,False
INC-3027,2026-01-06,Server - Primary,Medium,Resolved,Capacity/Overload,6.28,False
INC-3028,2026-01-27,POS - Merchandise,Medium,Resolved,Configuration Error,7.99,False
INC-3029,2026-01-20,WiFi - Hotels,Medium,Open,Network Connectivity,,False
INC-3030,2026-02-16,Hotel Property Mgmt System,Low,Resolved,Hardware Failure,12.75,False
INC-3031,2026-01-04,Ride Control - Coasters,High,In Progress,Configuration Error,,False
INC-3032,2026-02-07,Ticketing Gates,High,Open,Network Connectivity,,False
INC-3033,2026-02-19,CCTV - Park Zone B,Low,In Progress,Network Connectivity,,False
INC-3034,2026-03-01,Server - Primary,Medium,Resolved,Unknown / Pending RCA,6.56,False
INC-3035,2026-01-15,POS - Food & Beverage,Medium,In Progress,Configuration Error,,False
INC-3036,2026-01-09,POS - Food & Beverage,Medium,In Progress,Software Bug,,False
INC-3037,2026-02-01,Ride Control - Coasters,Medium,Resolved,Hardware Failure,4.96,False
INC-3038,2026-01-26,Server - Primary,Low,In Progress,Human Error,,False
INC-3039,2026-02-24,POS - Food & Beverage,Low,Resolved,Configuration Error,18.68,False
INC-3040,2026-02-02,WiFi - Hotels,Medium,Open,Network Connectivity,,False
INC-3041,2026-01-28,Employee Devices,Critical,Resolved,Hardware Failure,0.78,False
INC-3042,2026-01-19,Server - Backup,Medium,Resolved,Network Connectivity,6.94,False
INC-3043,2026-01-12,Hotel Property Mgmt System,High,Resolved,Human Error,3.54,False
INC-3044,2026-01-27,POS - Merchandise,Medium,Resolved,Human Error,5.88,False
INC-3045,2026-02-11,Employee Devices,Critical,Open,Vendor/Third-Party,,False
INC-3046,2026-02-28,Ride Control - Water Rides,Medium,In Progress,Hardware Failure,,False
INC-3047,2026-02-14,Ride Control - Coasters,Medium,Open,Hardware Failure,,False
INC-3048,2026-02-05,WiFi - Park West,High,Open,Software Bug,,False
INC-3049,2026-02-09,Hotel Property Mgmt System,Medium,In Progress,Network Connectivity,,False
INC-3050,2026-01-03,Server - Backup,Medium,In Progress,Vendor/Third-Party,,False
INC-3051,2026-01-08,Employee Devices,High,Resolved,Software Bug,2.34,False
INC-3052,2026-02-25,Employee Devices,Low,Resolved,Human Error,18.44,False
INC-3053,2026-01-29,Ticketing Gates,Medium,Open,Human Error,,False
INC-3054,2026-02-03,POS - Merchandise,High,Resolved,Configuration Error,1.05,False
INC-3055,2026-01-27,Employee Devices,Medium,Open,Network Connectivity,,False
INC-3056,2026-02-03,Ride Control - Water Rides,Medium,In Progress,Network Connectivity,,False
INC-3057,2026-01-19,Server - Backup,Medium,Resolved,Software Bug,2.93,False
INC-3058,2026-02-23,Employee Devices,Medium,Resolved,Unknown / Pending RCA,3.9,False
INC-3059,2026-02-13,Server - Backup,High,In Progress,Human Error,,False
INC-3060,2026-01-18,WiFi - Park East,Low,Resolved,Network Connectivity,20.19,False
INC-3061,2026-01-15,Server - Backup,Medium,Open,Network Connectivity,,False
INC-3062,2026-03-01,Hotel Property Mgmt System,Medium,In Progress,Network Connectivity,,False
INC-3063,2026-02-02,CCTV - Park Zone A,Low,Open,Human Error,,False
INC-3064,2026-02-25,CCTV - Park Zone B,Medium,Resolved,Unknown / Pending RCA,6.31,False
INC-3065,2026-02-11,Server - Primary,High,Open,Hardware Failure,,False
INC-3066,2026-01-29,WiFi - Park West,High,Resolved,Network Connectivity,2.73,False
INC-3067,2026-02-27,WiFi - Hotels,Medium,Resolved,Vendor/Third-Party,6.16,False
INC-3068,2026-02-23,CCTV - Park Zone B,Low,In Progress,Software Bug,,False
INC-3069,2026-02-18,Ride Control - Water Rides,Medium,Resolved,Configuration Error,3.28,False
INC-3070,2026-02-25,POS - Food & Beverage,Medium,Resolved,Hardware Failure,5.48,False
INC-3071,2026-01-28,Employee Devices,Medium,Resolved,Vendor/Third-Party,4.36,False
INC-3072,2026-03-01,CCTV - Park Zone A,Low,Resolved,Network Connectivity,9.52,False
INC-3073,2026-01-29,CCTV - Park Zone B,Medium,Resolved,Network Connectivity,4.7,False
INC-3074,2026-02-20,POS - Food & Beverage,High,Resolved,Software Bug,3.49,False
INC-3075,2026-01-17,WiFi - Park West,Medium,In Progress,Configuration Error,,False
INC-3076,2026-01-05,Server - Backup,Medium,Open,Configuration Error,,False
INC-3077,2026-02-25,WiFi - Park West,High,Resolved,Human Error,3.24,False
INC-3078,2026-02-04,WiFi - Park East,Medium,Resolved,Network Connectivity,6.63,False
INC-3079,2026-03-01,CCTV - Park Zone B,Medium,Resolved,Configuration Error,2.45,False
INC-3080,2026-01-29,Ride Control - Coasters,Medium,Resolved,Network Connectivity,6.44,False
INC-3081,2026-01-07,CCTV - Park Zone A,High,Open,Network Connectivity,,False
INC-3082,2026-02-27,POS - Food & Beverage,Medium,Resolved,Configuration Error,5.4,False
INC-3083,2026-01-31,Employee Devices,Medium,Open,Hardware Failure,,False
INC-3084,2026-02-19,POS - Merchandise,Medium,Resolved,Software Bug,7.55,False
INC-3085,2026-02-22,POS - Merchandise,Medium,Resolved,Configuration Error,6.51,False
INC-3086,2026-02-14,WiFi - Park East,Low,In Progress,Software Bug,,False
INC-3087,2026-01-30,POS - Merchandise,Medium,Open,Software Bug,,False
INC-3088,2026-01-19,CCTV - Park Zone B,Low,In Progress,Network Connectivity,,False
INC-3089,2026-01-03,Hotel Property Mgmt System,Medium,Open,Configuration Error,,False
INC-3090,2026-02-16,Server - Primary,Medium,Resolved,Software Bug,6.11,False
INC-3091,2026-01-02,WiFi - Park East,High,Resolved,Vendor/Third-Party,3.53,False
INC-3092,2026-02-15,WiFi - Hotels,Medium,Open,Human Error,,False
INC-3093,2026-02-02,POS - Merchandise,Low,In Progress,Network Connectivity,,False
INC-3094,2026-02-06,CCTV - Park Zone B,Medium,Open,Unknown / Pending RCA,,False
INC-3095,2026-02-03,Server - Backup,Medium,Resolved,Network Connectivity,7.75,False
INC-3096,2026-01-13,Ride Control - Coasters,Medium,Resolved,Software Bug,2.36,False
INC-3097,2026-01-16,WiFi - Hotels,Medium,Resolved,Network Connectivity,2.84,False
INC-3098,2026-03-01,WiFi - Park West,High,Resolved,Network Connectivity,1.17,False
INC-3099,2026-02-23,POS - Merchandise,Low,Resolved,Network Connectivity,8.34,False
INC-3100,2026-02-13,CCTV - Park Zone A,Medium,Resolved,Configuration Error,4.23,False
INC-3101,2026-01-15,Hotel Property Mgmt System,Critical,Resolved,Configuration Error,0.98,False
INC-3102,2026-01-11,WiFi - Park West,Low,Resolved,Software Bug,5.01,False
INC-3103,2026-01-12,Ride Control - Coasters,Low,Open,Configuration Error,,False
INC-3104,2026-02-18,WiFi - Hotels,Medium,Open,Software Bug,,False
INC-3105,2026-01-26,Employee Devices,Low,Resolved,Human Error,15.63,False
INC-3106,2026-01-31,WiFi - Hotels,Medium,Resolved,Human Error,7.43,False
INC-3107,2026-01-25,Ride Control - Coasters,Low,Resolved,Capacity/Overload,19.08,False
INC-3108,2026-01-16,POS - Merchandise,Medium,Resolved,Configuration Error,7.93,False
INC-3109,2026-02-02,WiFi - Park West,Medium,In Progress,Configuration Error,,False
INC-3110,2026-02-18,Ticketing Gates,High,Resolved,Network Connectivity,1.94,False
INC-3111,2026-02-02,WiFi - Park West,Low,In Progress,Network Connectivity,,False
INC-3112,2026-01-24,WiFi - Park East,Critical,Open,Network Connectivity,,False
INC-3113,2026-02-20,Ride Control - Coasters,Low,In Progress,Configuration Error,,False
INC-3114,2026-01-07,Hotel Property Mgmt System,Low,Resolved,Network Connectivity,12.72,False
INC-3115,2026-01-02,Ride Control - Coasters,Medium,Resolved,Configuration Error,4.22,False
INC-3116,2026-02-24,Server - Backup,High,Resolved,Network Connectivity,1.43,False
INC-3117,2026-02-10,Employee Devices,Low,Resolved,Hardware Failure,10.48,False
INC-3118,2026-01-04,Employee Devices,Low,Resolved,Configuration Error,14.2,False
INC-3119,2026-01-21,Hotel Property Mgmt System,Medium,Resolved,Network Connectivity,3.5,False
INC-3120,2026-02-21,CCTV - Park Zone B,Medium,Resolved,Network Connectivity,6.92,False
INC-3121,2026-01-08,POS - Merchandise,Medium,Open,Network Connectivity,,False
INC-3122,2026-01-16,WiFi - Hotels,Medium,Resolved,Network Connectivity,4.74,False
INC-3123,2026-01-10,Ticketing Gates,Low,Resolved,Configuration Error,13.83,False
INC-3124,2026-02-11,POS - Food & Beverage,Low,In Progress,Configuration Error,,False
INC-3125,2026-02-21,Hotel Property Mgmt System,Medium,Resolved,Capacity/Overload,3.07,False
INC-3126,2026-02-21,Ride Control - Water Rides,Medium,Open,Hardware Failure,,False
INC-3127,2026-01-12,Ticketing Gates,Low,Open,Configuration Error,,False
INC-3128,2026-02-16,Hotel Property Mgmt System,Low,Open,Network Connectivity,,False
INC-3129,2026-02-04,POS - Merchandise,Critical,Resolved,Network Connectivity,1.98,True
INC-3130,2026-02-19,Employee Devices,Critical,Resolved,Unknown / Pending RCA,1.17,True
INC-3131,2026-02-01,WiFi - Park East,Medium,Resolved,Capacity/Overload,3.24,False
INC-3132,2026-01-19,WiFi - Park West,Medium,Open,Capacity/Overload,,False
INC-3133,2026-02-05,CCTV - Park Zone A,Low,Resolved,Human Error,17.84,False
INC-3134,2026-01-04,POS - Food & Beverage,Medium,In Progress,Hardware Failure,,False
INC-3135,2026-02-27,POS - Food & Beverage,Medium,Resolved,Vendor/Third-Party,7.04,False
INC-3136,2026-01-05,CCTV - Park Zone B,Medium,Resolved,Hardware Failure,4.27,False
INC-3137,2026-01-12,Server - Primary,Low,Resolved,Capacity/Overload,20.42,False
INC-3138,2026-01-13,Employee Devices,Medium,In Progress,Hardware Failure,,False
INC-3139,2026-01-04,Ride Control - Coasters,Medium,Resolved,Human Error,5.38,False
INC-3140,2026-02-15,WiFi - Park East,Low,In Progress,Unknown / Pending RCA,,False
INC-3141,2026-02-01,POS - Food & Beverage,Medium,Open,Human Error,,False
INC-3142,2026-02-06,CCTV - Park Zone B,Medium,Resolved,Vendor/Third-Party,4.41,False
INC-3143,2026-01-04,Ticketing Gates,Medium,In Progress,Network Connectivity,,False
INC-3144,2026-01-20,Ride Control - Coasters,Low,Open,Capacity/Overload,,False
INC-3145,2026-01-02,Ride Control - Water Rides,Low,Resolved,Configuration Error,11.73,False
INC-3146,2026-01-12,Ride Control - Water Rides,Medium,Resolved,Human Error,6.12,False
INC-3147,2026-01-05,POS - Merchandise,Medium,In Progress,Network Connectivity,,False
INC-3148,2026-01-15,POS - Merchandise,High,Resolved,Human Error,3.52,False
INC-3149,2026-01-08,WiFi - Park East,Low,In Progress,Software Bug,,False
INC-3150,2026-02-08,Ride Control - Coasters,Low,Resolved,Network Connectivity,19.24,False
INC-3151,2026-02-26,CCTV - Park Zone A,Low,Resolved,Software Bug,21.58,False
INC-3152,2026-02-27,POS - Merchandise,Medium,Resolved,Software Bug,7.47,False
INC-3153,2026-01-24,Employee Devices,Medium,Resolved,Configuration Error,5.97,False
INC-3154,2026-02-25,Server - Primary,Low,Open,Configuration Error,,False
INC-3155,2026-02-28,WiFi - Park East,Critical,Resolved,Network Connectivity,1.19,True
INC-3156,2026-01-28,Server - Primary,Medium,Open,Vendor/Third-Party,,False
INC-3157,2026-01-30,Ticketing Gates,Low,Resolved,Vendor/Third-Party,19.58,False
INC-3158,2026-01-11,CCTV - Park Zone A,Low,Resolved,Software Bug,5.1,False
INC-3159,2026-01-20,POS - Merchandise,Medium,Resolved,Network Connectivity,4.14,False
INC-3160,2026-02-22,Hotel Property Mgmt System,Medium,Resolved,Capacity/Overload,6.71,False
INC-3161,2026-01-30,WiFi - Park East,Critical,Open,Network Connectivity,,False
INC-3162,2026-01-03,Server - Primary,High,Resolved,Configuration Error,3.69,False
INC-3163,2026-02-01,CCTV - Park Zone B,Medium,In Progress,Hardware Failure,,False
INC-3164,2026-02-11,Hotel Property Mgmt System,Medium,Open,Configuration Error,,False
INC-3165,2026-02-11,WiFi - Hotels,Low,In Progress,Network Connectivity,,False
INC-3166,2026-01-19,POS - Merchandise,Low,Resolved,Network Connectivity,15.89,False
INC-3167,2026-01-04,WiFi - Hotels,High,Open,Software Bug,,False
INC-3168,2026-01-31,CCTV - Park Zone B,Low,Resolved,Capacity/Overload,8.35,False
INC-3169,2026-01-18,Ride Control - Coasters,Low,Resolved,Vendor/Third-Party,19.65,False
INC-3170,2026-01-01,WiFi - Park West,Low,Resolved,Hardware Failure,6.13,False
INC-3171,2026-02-15,WiFi - Park West,Medium,Resolved,Hardware Failure,2.66,False
INC-3172,2026-02-20,Server - Backup,Medium,Resolved,Network Connectivity,6.71,False
INC-3173,2026-02-20,WiFi - Park East,Medium,Resolved,Software Bug,6.19,False
INC-3174,2026-01-23,WiFi - Hotels,Low,Resolved,Configuration Error,4.47,False
INC-3175,2026-01-27,Server - Backup,Low,Resolved,Network Connectivity,13.59,False
INC-3176,2026-01-29,WiFi - Park West,High,Open,Configuration Error,,False
INC-3177,2026-01-20,WiFi - Park West,Medium,Open,Software Bug,,False
INC-3178,2026-02-18,Hotel Property Mgmt System,Medium,Open,Configuration Error,,False
INC-3179,2026-01-03,Ride Control - Water Rides,High,In Progress,Network Connectivity,,False
INC-3180,2026-01-26,WiFi - Park East,Low,In Progress,Hardware Failure,,False
INC-3181,2026-01-03,Ride Control - Coasters,Low,In Progress,Human Error,,False
INC-3182,2026-01-03,Employee Devices,Critical,Resolved,Vendor/Third-Party,1.33,True
INC-3183,2026-01-06,WiFi - Park West,Medium,Resolved,Network Connectivity,3.9,False
INC-3184,2026-01-16,Hotel Property Mgmt System,Low,In Progress,Software Bug,,False
INC-3185,2026-02-04,Employee Devices,Medium,Resolved,Configuration Error,7.03,False
INC-3186,2026-01-21,CCTV - Park Zone A,Medium,Resolved,Network Connectivity,6.1,False
INC-3187,2026-02-12,Ride Control - Coasters,Medium,In Progress,Unknown / Pending RCA,,False
INC-3188,2026-02-12,CCTV - Park Zone A,Medium,Resolved,Configuration Error,4.55,False
INC-3189,2026-02-01,POS - Food & Beverage,Low,Resolved,Capacity/Overload,18.39,False
INC-3190,2026-02-18,WiFi - Park West,Medium,Resolved,Human Error,7.73,False
INC-3191,2026-01-03,Server - Backup,High,In Progress,Vendor/Third-Party,,False
INC-3192,2026-01-14,Ticketing Gates,Medium,Resolved,Network Connectivity,6.16,False
INC-3193,2026-01-07,Ticketing Gates,Low,Resolved,Hardware Failure,21.04,False
INC-3194,2026-02-16,CCTV - Park Zone B,Medium,Resolved,Human Error,2.59,False
INC-3195,2026-01-09,CCTV - Park Zone A,High,Resolved,Configuration Error,1.8,False
INC-3196,2026-02-02,Employee Devices,Low,Resolved,Configuration Error,20.22,False
INC-3197,2026-02-14,Ride Control - Coasters,Medium,Resolved,Configuration Error,2.77,False
INC-3198,2026-01-25,WiFi - Park East,Medium,Resolved,Human Error,4.4,False
INC-3199,2026-01-28,Server - Backup,Low,Resolved,Software Bug,10.87,False
INC-3200,2026-01-13,WiFi - Hotels,Medium,In Progress,Capacity/Overload,,False
